Text1,Text2,Similarity
"SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14 , 2008 AT 2:45 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year .","SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14 , 2008 AT 2:45 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year .",1.0
Viking Line has canceled some services .,Viking Line has canceled some services .,1.0000000000000002
Costco: A Premier Retail Dividend Play https://t.co/Fa5cnh2t0t $COST,Costco: A Premier Retail Dividend Play https://t.co/J3UhTs022M $COST,1.0000000000000002
All are welcome .,$RAD All my charts are flashing oversold.,1.0
- Profit before taxes was EUR 105.9 82.7 million .,"- The Group -¦ s profit before taxes was EUR 0,2 7,8 million .",0.9318044756370013
"Dolce & Gabbana has asked the European Union to declare Marimekko Corporation 's `` Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies .","Dolce & Gabbana has asked the European Union to declare Marimekko Corporation 's `` Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies .",1.0
Tesco share price jumps as Q3 sales top estimates,Tesco share price dips as Blinkbox Books closes ending supermarket's digital ...,0.9410023634980638
Diluted earnings per share ( EPS ) fell to EUR 0.63 from EUR 1.71 .,Diluted earnings per share ( EPS ) fell to EUR 0.63 from EUR 1.71 .,1.0000000000000002
Diluted earnings per share ( EPS ) fell to EUR 0.63 from EUR 1.71 .,Diluted earnings per share ( EPS ) declined to EUR 0.78 from EUR 1.76 .,0.9206708797939375
Diluted earnings per share ( EPS ) fell to EUR 0.63 from EUR 1.71 .,Diluted earnings per share ( EPS ) declined to EUR 0.78 from EUR 1.76 .,0.9206708797939375
"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .","Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .",1.0000000000000002
"Cohen & Steers , Inc. : 5 534 626 shares representing 4.985 % of the share capital and voting rights .","Cohen & Steers , Inc. : 5 534 530 shares representing 4.985 % of the share capital and voting rights .",1.0
"Paper companies were in negative territories , with Stora Enso R shedding 1.62 pct to 12.73 eur , UPM-Kymmene down 0.80 pct at 18.64 eur and M-real B 0.18 pct lower at 5.57 eur .","Paper companies were in negative territories , with Stora Enso R shedding 1.62 pct to 12.73 eur , UPM-Kymmene down 0.80 pct at 18.64 eur and M-real B 0.18 pct lower at 5.57 eur .",1.0000000000000002
Operating profit for the quarter April-June 2006 amounted to EUR182 .2 m on sales of EUR3 .62 bn .,Operating profit for the quarter April-June 2006 amounted to EUR42 .9 m on net sales of EUR156 .3 m.,0.9689802114754001
"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .","Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .",1.0000000000000002
"Profit for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009 .","Profit for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009 .",1.0000000000000002
"Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn .","Profit for the period was EUR 9.8 mn , up from EUR 6.0 mn in 2004 .",0.9044565115278455
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,1.0
"Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .","Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .",1.0000000000000002
The fair value of the company 's investment properties went down to EUR 2.768 billion at the end of 2009 from EUR 2.916 billion a year earlier .,The fair value of the company 's investment properties went down to EUR 2.768 billion at the end of 2009 from EUR 2.916 billion a year earlier .,1.0000000000000002
"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .","Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .",1.0
"Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 , the company said .",Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 .,0.9465359506964987
Tesco share price down as grocer faces SFO investigation outcome,Tesco share price dips as Blinkbox Books closes ending supermarket's digital ...,0.9101093529609638
$TSLA recall,Seat belt recall? who cares....  I'm a buyer $TSLA,1.0
$TSLA recall,$TSLA weakest in todays DT watchlist,0.9448249545744755
"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) .","The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) .",1.0
"At 12.59 pm , the OMX Helsinki 25 index was 0.32 pct lower at 2,694.81 .","At 12.59 pm , the OMX Helsinki 25 index was 0.32 pct lower at 2,694.81 .",1.0
"The decision means temporary lay-offs of fixed duration at the company 's Nastola and Jyvaskyla units , in southern and central Finland , respectively .","The decision means temporary lay-offs of fixed duration at the company 's Nastola and Jyvaskyla units , in southern and central Finland , respectively .",1.0
The value of the orders is over EUR 10mn .,The value of the orders is over EUR 25mn .,1.0
"Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 .","Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 .",1.0
"UPM-Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue .","UPM-Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue .",1.0
"The OMX Nordic 40 OMXN40 index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed down 0.87 % at 1,064.14 points on Thursday .","The OMX Nordic 40 OMXN40 index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed down 0.87 % at 1,064.14 points on Thursday .",1.0
"The OMX Nordic 40 OMXN40 index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed down 0.87 % at 1,064.14 points on Thursday .","The OMX Nordic 40 ( OMXN40 ) index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed up 0.43 % at 1,138.84 points on Wednesday .",0.949171698437967
The operating margin of Aker Yards Cruise & Ferries division went down from 8.3 % to 6.4 % in the first quarter of 2007 .,The operating margin of Aker Yards Cruise & Ferries division went down from 8.3 % to 6.4 % in the first quarter of 2007 .,1.0000000000000004
"Temporary lay-offs , affecting the entire workforce , will also be implemented .","Temporary lay-offs , affecting the entire workforce , will also be implemented .",1.0000000000000002
"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said Wednesday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal .","3 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said yesterday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal .",1.0
Finnish insurance company Fennia and Kesko Group are ending their loyal customer cooperation .,Finnish insurance company Fennia and Kesko Group are ending their loyal customer cooperation .,1.0
"Finnair 's passenger load factor , which measures the number of sold seats as a share of all available seats , dropped by 1.3 percentage points to 76.7 % in September .","Finnair 's passenger load factor , which measures the number of sold seats as a share of all available seats , dropped by 1.3 percentage points to 76.7 % in September .",1.0000000000000002
"In January-June 2010 , diluted loss per share stood at EUR0 .3 versus EUR0 .1 in the first half of 2009 .","In January-June 2010 , diluted loss per share stood at EUR0 .3 versus EUR0 .1 in the first half of 2009 .",1.0000000000000002
"Sales in Finland decreased by 10.5 % in January , while sales outside Finland dropped by 17 % .","Sales in Finland decreased by 10.5 % in January , while sales outside Finland dropped by 17 % .",1.0
"The pulp production in Finnish Kemij+ñrvi will also be liquidated and about 1,100 employees loose their jobs .","The pulp production in Finnish Kemij+ñrvi will also be liquidated and about 1,100 employees loose their jobs .",1.0
"Tesla is recalling 2,700 Model X cars: https://t.co/8Z7BkVsTl9 $TSLA","Tesla Motors recalls 2,700 Model X SUVs https://t.co/BFWS3DbM0U $TSLA",0.9723968060480942
"Tesla is recalling 2,700 Model X cars: https://t.co/8Z7BkVsTl9 $TSLA","Tesla Motors recalls 2,700 Model X SUVs $TSLA https://t.co/xDGrAExkKz",0.9723968060480942
"Tesla is recalling 2,700 Model X cars: https://t.co/8Z7BkVsTl9 $TSLA","Tesla Motors recalls 2,700 Model X SUVs $TSLA https://t.co/F55dx4aegI",0.9723968060480942
"Making matters more difficult , the company said it has been grappling with higher oil and gas prices , which have pushed up the cost of energy , raw materials and transportation .","Making matters more difficult , the company said it has been grappling with higher oil and gas prices , which have pushed up the cost of energy , raw materials and transportation .",1.0
"Operating loss totalled EUR 3.2 mn , compared to a profit of EUR 7.2 mn in the third quarter of 2008 .","Operating loss totalled EUR 4.0 mn , compared to a profit of EUR 8.6 mn in the second quarter of 2008 .",0.9032384585967468
"Operating loss totalled EUR 3.2 mn , compared to a profit of EUR 7.2 mn in the third quarter of 2008 .","Operating loss totalled EUR 4.0 mn , compared to a profit of EUR 8.6 mn in the second quarter of 2008 .",0.9032384585967468
"Operating loss totalled EUR 3.2 mn , compared to a profit of EUR 7.2 mn in the third quarter of 2008 .","Operating loss totalled EUR 3.2 mn , compared to a profit of EUR 7.2 mn in the third quarter of 2008 .",1.0
"The company is headquartered in Sievi , Finland , and is listed on the Nordic Exchange in Helsinki .",The company is listed on the Nordic Exchange in Helsinki .,0.9119421019405943
"In the building and home improvement trade , sales decreased by 22.5 % to EUR 201.4 mn .","In the building and home improvement trade , sales decreased by 22.5 % to EUR 201.4 mn .",1.0000000000000002
"Finnish textiles and clothing group Marimekko Oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006 , compared to 8.4 mln euro $ 10.9 mln for 2005 .","Finnish textiles and clothing group Marimekko Oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006 , compared to 8.4 mln euro $ 10.9 mln for 2005 .",1.0000000000000002
"Due to the rapid decrease in net sales , personnel reductions have been carried out on a wider scale than initially expected .","Due to the rapid decrease in net sales , personnel reductions have been carried out on a wider scale than initially expected .",1.0
Full-year operating result for 2008 was 3.6 million negative .,Full-year operating result for 2008 was 3.6 million negative .,1.0
A survey conducted by Taloustutkimus for Sampo Life shows that companies are badly prepared to losing key staff members .,A survey conducted by Taloustutkimus for Sampo Life shows that companies are badly prepared to losing key staff members .,1.0000000000000002
"Antti Orkola , president of Kemira GrowHow 's Industrial Solutions unit , told Thomson Financial News the company has put off opening the mine as prices of phosphate have been ` quite depressed for a long time ' . '","Antti Orkola , president of Kemira GrowHow 's Industrial Solutions unit , told Thomson Financial News the company has put off opening the mine as prices of phosphate have been ` quite depressed for a long time ' . '",1.0
We make available the following brand-new market analyses Cement - Pakistan Cement - Malaysia Cement - Taiwan Cement - Philippines These analyses give a clear overview of the actual situation and future outlook of the cement industry in some Asian countries .,We make available the following brand-new market analyses : Cement - UK Cement - Poland Cement - Belgium These analyses give a clear overview of the actual situation and future outlook of the cement industry in some European countries .,0.958144337366744
"Operating profit totalled EUR 30.2 mn , down from EUR 43.8 mn a year earlier .","Operating profit totalled EUR 30.2 mn , down from EUR 43.8 mn a year earlier .",1.0000000000000004
Just went long $ILMN,$MXWL Oh snap. Just went long again. LT,1.0
"Operating result for the 12-month period decreased from the profit of EUR0 .4 m while turnover decreased from EUR5 .6 m , as compared to 2004 .","Operating result for the 12-month period decreased from the profit of EUR0 .4 m while turnover decreased from EUR5 .6 m , as compared to 2004 .",1.0000000000000002
The administrators have indicated a need for 900 job cuts at the Irish insurer over the next 15 months .,The administrators have indicated a need for 900 job cuts at the Irish insurer over the next 15 months .,1.0
"Revenue for the quarter totaled 27.4 billion , down 2 percent from 28.1 billion in the fourth quarter in 2008 .","Revenue for the quarter totaled 27.4 billion , down 2 percent from 28.1 billion in the fourth quarter in 2008 .",1.0000000000000002
The number of bodily injury cases quadrupled in 2000-2006 .,The number of bodily injury cases quadrupled in 2000-2006 .,1.0
And U.S. energy executives say high steel prices are threatening energy exploration .,And U.S. energy executives say high steel prices are threatening energy exploration .,1.0
"In the third quarter of fiscal 2008 Efore swung to a net loss of EUR 400,000 versus a net profit of EUR 200,000 for the corresponding period of fiscal 2007 .","In the third quarter of fiscal 2008 Efore swung to a net loss of EUR 400,000 versus a net profit of EUR 200,000 for the corresponding period of fiscal 2007 .",1.0000000000000002
"The group 's operating loss was EUR 0.8 mn , down from a profit of EUR 2.5 mn in 2004 .","The group 's operating loss was EUR 0.8 mn , down from a profit of EUR 2.5 mn in 2004 .",1.0000000000000002
The move was triggered by weak demand for forestry equipment and the uncertain market situation .,The move was triggered by weak demand for forestry equipment and the uncertain market situation .,1.0
17 March 2011 - Goldman Sachs estimates that there are negative prospects for the Norwegian mobile operations of Norway 's Telenor ASA OSL : TEL and Sweden 's TeliaSonera AB STO : TLSN in the short term .,17 March 2011 - Goldman Sachs estimates that there are negative prospects for the Norwegian mobile operations of Norway 's Telenor ASA OSL : TEL and Sweden 's TeliaSonera AB STO : TLSN in the short term .,1.0
Talentum 's net sales in September were smaller than expected .,Talentum 's net sales in September were smaller than expected .,1.0
"Tesco, Asda sales fall as march of the discounters continues-Kantar","Tesco, Asda sales fall as march of the discounters continues: Kantar",1.0
